model_number,serial_number,manufacturer,year,freon_type
8S0SPPPHJT,0GUZNKAX5Z,Gree,2008,R-22
XT36OGL5UQ,EXWWYFJQIJ,Gree,2016,R-22
HWXF54ZV2N,3XI1KPEKSV,Rheem,2025,R-32
Z83N3IYKGH,YOKJ44WGAF,Gree,2010,R-22
FS4EBRCXSC,R2FUI27NZ0,Gree,2022,R-32
P810XPQYI1,QELUA8G5KP,Gree,2008,R-290
BT5WEC9VZR,DA3AU8SB3X,York,2025,R-290
UKRL0HLRVK,C356ABJ8LI,Lennox,2015,R-410A
3TUH3KWJCR,0ENW3ZY4IL,Lennox,2013,R-22
BV8SWY8KS1,AGG895GSSV,Trane,2006,R-134a
ZZQYWQNL1K,H3N3JUET3F,Lennox,2016,R-290
GA33UHI730,LBY56EVDY7,Gree,2014,R-22
C6PBYBI2JL,V4XO4779MG,Carrier,2017,R-134a
0CWFNJ3OE4,7QTQGO8S79,Trane,2008,R-134a
R79BSIJ8F0,QKLG1WMHWZ,LG,2023,R-134a
HLNP6NWR57,5Y1R09JI9B,Gree,2023,R-290
AJBH1TW29C,WZ89BVPAF0,Daikin,2010,R-22
25PNA7RNVT,AC0DWHVCQI,Trane,2020,R-290
8AT0IZVNKQ,90INE6Z9TP,LG,2015,R-22
X93B0WR98B,WX4CRQRZRD,Rheem,2020,R-290
HLXIAL9JGH,H23EJX3VKI,LG,2015,R-22
5KTVA6PH7Z,UNHL54BF0Y,Carrier,2013,R-22
2AVQNC5PQK,SEG1VJBY3I,Trane,2009,R-22
Y9NEAQUR5B,X3U4ERCCYS,Bosch,2020,R-22
8O3C3ZFQI3,OZGE9GH02S,York,2025,R-32
T59W9XVO58,24B97VTR7J,Daikin,2001,R-410A
V8J2TQHAP6,NE8VO4NAJT,Carrier,2015,R-22
KF89TMTNYJ,ANZUBJ6F90,Gree,2017,R-290
42CYZEHJA2,76V012MGUA,Trane,2014,R-134a
AIXQSZYGGO,J9SZU0MAR0,Carrier,2014,R-134a
KS7TP0PXPH,92WBJWT8QP,Gree,2021,R-134a
ORT6P1Q4DE,VKP3RE6M5S,Lennox,2013,R-410A
1427J85LGF,YHVRT4JKZM,York,2008,R-290
KWNXVTFNKA,97FV161POQ,Daikin,2008,R-22
6AYIM4J8HN,070Y6VMSAA,LG,2022,R-410A
8S67V76LYC,GR291RM1QK,Daikin,2007,R-22
LNSMZPUXT1,U3V514ZFW0,LG,2016,R-32
5J1A4GBW4P,WJUDNY2UO1,Lennox,2005,R-410A
SQWTYN3D72,OLNCVWEMZT,York,2020,R-32
SFUQ4BYE5F,U0T1SNF1GC,York,2001,R-22
ZXR8V22X31,RU6PMWMJRZ,Gree,2017,R-290
W4A65M6X89,8FD6OPQTC4,Bosch,2010,R-134a
6YPL500Z4T,5U7VQ6LPJV,Carrier,2016,R-410A
092BU1GD90,IIHDKJXBQI,LG,2008,R-22
SQZ8I8PUK8,PJRH2BB3ZO,Rheem,2017,R-22
7J0HH617K9,628QVRI5JI,Bosch,2005,R-410A
2GC38EW34T,6SZH044NZD,Carrier,2000,R-22
